"filename", "language", "Python", "YAML", "HTML", "XML", "JavaScript", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-deletelink.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-no.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-unknown-alt.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-unknown.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-viewlink.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-yes.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\inline-delete.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\search.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\selector-icons.svg", "XML", 0, 0, 0, -34, 0, 0, 0, 0, -1, -35
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\sorting-icons.svg", "XML", 0, 0, 0, -19, 0, 0, 0, 0, -1, -20
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\tooltag-add.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\SelectBox.js", "JavaScript", 0, 0, 0, 0, -111, 0, 0, -5, -1, -117
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 0, 0, -234, 0, 0, -26, -24, -284
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\actions.js", "JavaScript", 0, 0, 0, 0, -174, 0, 0, -7, -21, -202
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 0, -317, 0, 0, -65, -27, -409
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 0, -203, 0, 0, -13, -23, -239
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\autocomplete.js", "JavaScript", 0, 0, 0, 0, -28, 0, 0, -2, -4, -34
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\calendar.js", "JavaScript", 0, 0, 0, 0, -178, 0, 0, -28, -16, -222
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\cancel.js", "JavaScript", 0, 0, 0, 0, -24, 0, 0, -3, -3, -30
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\change_form.js", "JavaScript", 0, 0, 0, 0, -14, 0, 0, -2, -1, -17
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\collapse.js", "JavaScript", 0, 0, 0, 0, -37, 0, 0, -6, -1, -44
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\core.js", "JavaScript", 0, 0, 0, 0, -136, 0, 0, -19, -16, -171
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\filters.js", "JavaScript", 0, 0, 0, 0, -20, 0, 0, -6, -5, -31
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\inlines.js", "JavaScript", 0, 0, 0, 0, -272, 0, 0, -61, -27, -360
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\jquery.init.js", "JavaScript", 0, 0, 0, 0, -2, 0, 0, -6, -1, -9
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 0, 0, -73, 0, 0, -1, -6, -80
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\popup_response.js", "JavaScript", 0, 0, 0, 0, -15, 0, 0, -1, -1, -17
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\prepopulate.js", "JavaScript", 0, 0, 0, 0, -29, 0, 0, -10, -5, -44
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 0, 0, -15, 0, 0, 0, -1, -16
